"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","regulation","is_validated"
-1.32431551622128,5.74186315604533,-10.2178118249031,3.52365901559187e-22,3.67299504053839e-20,39.5222429147451,"MICALL1","Down","Other"
-1.81417734235793,2.28591637788496,-10.2092549819219,3.78521937711339e-22,3.91898084564246e-20,39.5532836445139,"SLC9A9","Down","Other"
-2.60999687395111,2.55237248176721,-10.2023080297044,4.01167725501048e-22,4.1255658106393e-20,39.4665193493578,"ASB2","Down","Other"
1.75096625915593,7.13832077395669,10.2003654511927,4.07737425789172e-22,4.16517371691166e-20,39.4037447339747,"SOX4","Up","Other"
2.25246440208315,1.19594197327225,10.1961382760974,4.22404954845629e-22,4.28643120735071e-20,39.2159518477291,"EME1","Up","Other"
-2.2462866237802,4.9880985983102,-10.1857073486373,4.60878127669864e-22,4.64607601992456e-20,39.2598709490282,"CCDC69","Down","Other"
2.60944784028312,5.66175858131368,10.1807702368159,4.80281902077464e-22,4.78156348758234e-20,39.3226303551876,"IQGAP3","Up","Other"
-2.54054787929496,0.0093213346541455,-10.1807011394338,4.80559144480637e-22,4.78156348758234e-20,39.2842932442272,"UBE2QL1","Down","Other"
-2.74214655129415,0.899123042312605,-10.16271268235,5.58415960424173e-22,5.52039210424491e-20,39.171884581029,"PDZD4","Down","Other"
-0.851827492539535,6.31499967486655,-10.1518201906552,6.11520085518826e-22,6.00661684000319e-20,38.9778278092619,"RNF11","Not significant","Other"
-1.22531884509255,4.29528084456207,-10.1464290285522,6.39628986356059e-22,6.2426974254356e-20,38.9712860293636,"JDP2","Down","Other"
-1.68335887801535,5.28124704270245,-10.1434491991923,6.55712081588187e-22,6.35916216846569e-20,38.9104818299096,"NDRG2","Down","Other"
-3.20138967517562,5.01536277616148,-10.1385343233702,6.83120991546577e-22,6.5833100336278e-20,38.879112984389,"HPGD","Down","Other"
-2.08459402592555,3.35674230450503,-10.1351020149526,7.02933596834106e-22,6.73190719018063e-20,38.8939788147363,"JAM2","Down","Other"
-0.827790294483388,5.1518055611063,-10.1328392438828,7.16306129813652e-22,6.8173657311395e-20,38.8366101832391,"CCNDBP1","Not significant","Other"
-2.65882332631715,3.42846041555246,-10.1237195233376,7.72810636431554e-22,7.30973912471648e-20,38.7798208508231,"KCNMB1","Down","Other"
1.57973356245393,8.84934724817332,10.111503330879,8.55490346572449e-22,8.04213409848444e-20,38.6520079133887,"COL4A1","Up","Other"
-1.87639965727171,3.50302127790173,-10.1084709333982,8.77338813495639e-22,8.19723331658151e-20,38.6762641578502,"SSBP2","Down","Other"
-2.26387684325235,2.66642015278941,-10.0956274453836,9.76185625946689e-22,9.06551051295825e-20,38.5969733007999,"SRPX","Down","Other"
-2.45328158684622,2.93189980114917,-10.0935540572575,9.93147997721868e-22,9.16747395728445e-20,38.562204281607,"NEGR1","Down","Other"
4.36445019511195,1.58569151665103,10.0922668970663,1.00382511111361e-21,9.21054621412804e-20,38.3804818068086,"WNT2","Up","Other"
-1.11755230312284,4.73681332022373,-10.0882546202413,1.03784394514304e-21,9.46600164965882e-20,38.4788012642524,"INPP5A","Down","Other"
-2.94533310101665,1.34526304301474,-10.0844459575958,1.07119434858399e-21,9.71237337476477e-20,38.5329014754749,"KCNK3","Down","Other"
-2.98973313997272,3.04104779073532,-10.0693981460872,1.21369120661225e-21,1.09396413875997e-19,38.3402724272296,"ACKR1","Down","Other"
2.36587946789645,5.18209199602891,10.0630645792694,1.27915371170905e-21,1.14622645172619e-19,38.3610976995649,"NFE2L3","Up","Other"
0.798591713654451,7.34369911374854,10.0591450124129,1.32140892392123e-21,1.17720633379331e-19,38.2193310494957,"XPO1","Not significant","Other"
2.4440372475909,2.27426337055271,10.0504014012768,1.42072860416843e-21,1.25837135269785e-19,38.098177130694,"FOXD2-AS1","Up","Other"
